Team Name,Logo URL
ATL,https://logo.clearbit.com/nba.com/hawks
BOS,https://logo.clearbit.com/nba.com/celtics
BRK,https://logo.clearbit.com/nba.com/nets
CHI,https://logo.clearbit.com/nba.com/bulls
CHO,https://logo.clearbit.com/nba.com/hornets
CLE,https://logo.clearbit.com/nba.com/cavaliers
DAL,https://logo.clearbit.com/nba.com/mavericks
DEN,https://logo.clearbit.com/nba.com/nuggets
DET,https://logo.clearbit.com/nba.com/pistons
GSW,https://logo.clearbit.com/nba.com/warriors
HOU,https://logo.clearbit.com/nba.com/rockets
IND,https://logo.clearbit.com/nba.com/pacers
LAC,https://logo.clearbit.com/nba.com/clippers
LAL,https://logo.clearbit.com/nba.com/lakers
MEM,https://logo.clearbit.com/nba.com/grizzlies
MIA,https://logo.clearbit.com/nba.com/heat
MIL,https://logo.clearbit.com/nba.com/bucks
MIN,https://logo.clearbit.com/nba.com/timberwolves
NOP,https://logo.clearbit.com/nba.com/pelicans
NYK,https://logo.clearbit.com/nba.com/knicks
OKC,https://logo.clearbit.com/nba.com/thunder
ORL,https://logo.clearbit.com/nba.com/magic
PHI,https://logo.clearbit.com/nba.com/76ers
PHO,https://logo.clearbit.com/nba.com/suns
POR,https://logo.clearbit.com/nba.com/blazers
SAC,https://logo.clearbit.com/nba.com/kings
SAC,https://logo.clearbit.com/nba.com/spurs
TOR,https://logo.clearbit.com/nba.com/raptors
UTA,https://logo.clearbit.com/nba.com/jazz
WAS,https://logo.clearbit.com/nba.com/wizards
