Team Name,Logo URL
Hawks,https://loodibee.com/wp-content/uploads/nba-atlanta-hawks-logo.png
Celtics,https://loodibee.com/wp-content/uploads/nba-boston-celtics-logo.png
Nets,https://loodibee.com/wp-content/uploads/nba-brooklyn-nets-logo.png
Bulls,https://loodibee.com/wp-content/uploads/nba-chicago-bulls-logo.png
Hornets,https://loodibee.com/wp-content/uploads/nba-charlotte-hornets-logo.png
Cavaliers,https://loodibee.com/wp-content/uploads/nba-cleveland-cavaliers-logo.png
Mavericks,https://loodibee.com/wp-content/uploads/nba-dallas-mavericks-logo.png
Nuggets,https://loodibee.com/wp-content/uploads/nba-denver-nuggets-logo.png
Pistons,https://loodibee.com/wp-content/uploads/nba-detroit-pistons-logo.png
Warriors,https://loodibee.com/wp-content/uploads/nba-golden-state-warriors-logo.png
Rockets,https://loodibee.com/wp-content/uploads/nba-houston-rockets-logo.png
Pacers,https://loodibee.com/wp-content/uploads/nba-indiana-pacers-logo.png
Clippers,https://loodibee.com/wp-content/uploads/nba-la-clippers-logo.png
Lakers,https://loodibee.com/wp-content/uploads/nba-los-angeles-lakers-logo.png
Grizzlies,https://loodibee.com/wp-content/uploads/nba-memphis-grizzlies-logo.png
Heat,https://loodibee.com/wp-content/uploads/nba-miami-heat-logo.png
Bucks,https://loodibee.com/wp-content/uploads/nba-milwaukee-bucks-logo.png
Timberwolves,https://loodibee.com/wp-content/uploads/nba-minnesota-timberwolves-logo.png
Pelicans,https://loodibee.com/wp-content/uploads/nba-new-orleans-pelicans-logo.png
Knicks,https://loodibee.com/wp-content/uploads/nba-new-york-knicks-logo.png
Thunder,https://loodibee.com/wp-content/uploads/nba-oklahoma-city-thunder-logo.png
Magic,https://loodibee.com/wp-content/uploads/nba-orlando-magic-logo.png
76ers,https://loodibee.com/wp-content/uploads/nba-philadelphia-76ers-logo.png
Suns,https://loodibee.com/wp-content/uploads/nba-phoenix-suns-logo.png
Trail Blazers,https://loodibee.com/wp-content/uploads/nba-portland-trail-blazers-logo.png
Kings,https://loodibee.com/wp-content/uploads/nba-sacramento-kings-logo.png
Spurs,https://loodibee.com/wp-content/uploads/nba-san-antonio-spurs-logo.png
Raptors,https://loodibee.com/wp-content/uploads/nba-toronto-raptors-logo.png
Jazz,https://loodibee.com/wp-content/uploads/nba-utah-jazz-logo.png
Wizards,https://loodibee.com/wp-content/uploads/nba-washington-wizards-logo.png
